13.03.2018                                                                                        Dynamic List Display                                                                                                1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
13.03.2018                                                                                          Lantek Details data                                                                                             1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Lantek Details data
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Order     |Total order quantity|BUn|Material   |Document            |Vers|Material Description                    |MRP controller|Basic Start Date|Basic finish date|Material   |Customer material number           |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 1032909194|                  6 |EA |E007.A03418|100029.03           |04  |100029.03 Plate T=30                    |E52           |24.10.2017      |27.11.2017       |B001.A01158|                                   |
| 1032917212|                  2 |EA |E007.A35544|068-1-1-26-14       |01  |068-1-1-26-14 T=15 PLATE                |E52           |16.11.2017      |22.11.2017       |B001.A06234|                                   |
| 1032917218|                  2 |EA |E007.A35544|068-1-1-26-14       |01  |068-1-1-26-14 T=15 PLATE                |E52           |16.11.2017      |22.11.2017       |B001.A06234|                                   |
| 1032918032|                  2 |EA |E007.A30432|9106011438          |04  |9106011438 T=20 S355J2G3                |E52           |13.12.2017      |22.12.2017       |B001.A02743|                                   |
| 1032920982|                  2 |EA |E007.A36824|5590018856          |1   |5590018856 PLATE t=15 S355N             |E52           |14.12.2017      |21.12.2017       |B001.A06272|                                   |
| 1032921150|                  2 |EA |E007.A31570|079-13-02.03_REV    |    |079-13-02.03_rev Blacha 6               |E52           |14.12.2017      |18.12.2017       |B001.A04185|                                   |
| 1032924646|                  1 |EA |E007.A40632|100869.01W_SMV21    |04  |100869.01W_SMV21 PLATE FRONT T=20       |E52           |14.04.2018      |20.04.2018       |B001.A02743|                                   |
| 1032924967|                  1 |EA |E007.A40633|100866.01_PW_SMV21  |12  |100866.01_PW_SMV21 PLATE 5959X770X15    |E52           |16.04.2018      |20.04.2018       |B001.A05860|                                   |
| 1032924968|                  1 |EA |E007.A40634|100866.01_LZ_SMV21  |01  |100866.01_LZ_SMV21 PLATE 5959X770X15    |E52           |16.04.2018      |20.04.2018       |B001.A05860|                                   |
| 1032924969|                  1 |EA |E007.A40635|100866.01_LW_SMV21  |08  |100866.01_LW_SMV21 PLATE 5959X770X15    |E52           |16.04.2018      |20.04.2018       |B001.A05860|                                   |
| 1032925569|                  2 |EA |E007.A39399|A05182.0600         |01  |A05182.0600 CYLINDER BRACKET T=40 S355  |E52           |10.01.2018      |16.01.2018       |B001.A04186|                                   |
| 1032925838|                  2 |EA |E007.A28640|9106002349          |02  |9106002349 PLATE t=50 S355N             |E52           |08.01.2018      |15.01.2018       |B001.A02717|                                   |
| 1032928877|                  4 |EA |E007.A14952|9106001450PA        |06  |PART T=20 S355J2G3 9106001450PA         |E52           |22.01.2018      |30.01.2018       |B001.A02743|                                   |
| 1032929011|                 12 |EA |E007.A15182|9106001517          |02  |PLATE 9106001517                        |E52           |22.01.2018      |25.01.2018       |B001.A04186|                                   |
| 1032929302|                  4 |EA |E007.A34142|5590016921PA1       |3   |5590016921PA1 PLATE t=100 S355N         |E52           |23.01.2018      |30.01.2018       |B001.A04086|                                   |
| 1032929813|                  2 |EA |E007.A34691|A62364.0200         |0   |A62364.0200 T=25 Lower Wing             |E52           |21.02.2018      |23.02.2018       |B001.A02677|                                   |
| 1032929827|                  4 |EA |E007.A34152|5590016936PA6       |3   |5590016936PA6 PLATE t=60 S355N          |E52           |01.02.2018      |06.02.2018       |B001.A04834|                                   |
| 1032929831|                  4 |EA |E007.A34152|5590016936PA6       |3   |5590016936PA6 PLATE t=60 S355N          |E52           |01.02.2018      |06.02.2018       |B001.A04834|                                   |
| 1032931175|                  4 |EA |E007.A34156|5590016943          |2   |5590016943 PLATE t=50 S355N             |E52           |28.02.2018      |01.03.2018       |B001.A02717|                                   |
| 1032931201|                  6 |EA |E007.A34156|5590016943          |2   |5590016943 PLATE t=50 S355N             |E52           |26.01.2018      |07.02.2018       |B001.A02717|                                   |
